LWS,Array Size,Sparsity Ratio,Compute Cycles
lws_4x4,4x4,1:4,1634303
lws_4x4,4x4,2:4,3268607
lws_4x4,4x4,3:4,4902911
lws_4x4,4x4,4:4,6537215
lws_8x8,8x8,1:8,213503
lws_8x8,8x8,2:8,427007
lws_8x8,8x8,3:8,640511
lws_8x8,8x8,4:8,854015
lws_8x8,8x8,5:8,1067519
lws_8x8,8x8,6:8,1281023
lws_8x8,8x8,7:8,1494527
lws_8x8,8x8,8:8,1708031
lws_16x16,16x16,1:16,28991
lws_16x16,16x16,2:16,57983
lws_16x16,16x16,3:16,86975
lws_16x16,16x16,4:16,115967
lws_16x16,16x16,5:16,144959
lws_16x16,16x16,6:16,173951
lws_16x16,16x16,7:16,202943
lws_16x16,16x16,8:16,231935
lws_16x16,16x16,9:16,260927
lws_16x16,16x16,10:16,289919
lws_16x16,16x16,11:16,318911
lws_16x16,16x16,12:16,347903
lws_16x16,16x16,13:16,376895
lws_16x16,16x16,14:16,405887
lws_16x16,16x16,15:16,434879
lws_16x16,16x16,16:16,463871
lws_32x32,32x32,1:32,5599
lws_32x32,32x32,2:32,11199
lws_32x32,32x32,3:32,16799
lws_32x32,32x32,4:32,16799
lws_32x32,32x32,5:32,22399
lws_32x32,32x32,6:32,27999
lws_32x32,32x32,7:32,33599
lws_32x32,32x32,8:32,33599
lws_32x32,32x32,9:32,39199
lws_32x32,32x32,10:32,44799
lws_32x32,32x32,11:32,50399
lws_32x32,32x32,12:32,50399
lws_32x32,32x32,13:32,55999
lws_32x32,32x32,14:32,61599
lws_32x32,32x32,15:32,67199
lws_32x32,32x32,16:32,67199
lws_32x32,32x32,17:32,72799
lws_32x32,32x32,18:32,78399
lws_32x32,32x32,19:32,83999
lws_32x32,32x32,20:32,83999
lws_32x32,32x32,21:32,89599
lws_32x32,32x32,22:32,95199
lws_32x32,32x32,23:32,100799
lws_32x32,32x32,24:32,100799
lws_32x32,32x32,25:32,106399
lws_32x32,32x32,26:32,111999
lws_32x32,32x32,27:32,117599
lws_32x32,32x32,28:32,117599
lws_32x32,32x32,29:32,123199
lws_32x32,32x32,30:32,128799
lws_32x32,32x32,31:32,134399
lws_32x32,32x32,32:32,134399
