LWS,Array Size,Sparsity Ratio,Compute Cycles
lws_4x4,4x4,1:4,1593343
lws_4x4,4x4,2:4,3186687
lws_4x4,4x4,3:4,4780031
lws_4x4,4x4,4:4,6373375
lws_8x8,8x8,1:8,202239
lws_8x8,8x8,2:8,404479
lws_8x8,8x8,3:8,606719
lws_8x8,8x8,4:8,808959
lws_8x8,8x8,5:8,1011199
lws_8x8,8x8,6:8,1213439
lws_8x8,8x8,7:8,1415679
lws_8x8,8x8,8:8,1617919
lws_16x16,16x16,1:16,26047
lws_16x16,16x16,2:16,52095
lws_16x16,16x16,3:16,78143
lws_16x16,16x16,4:16,104191
lws_16x16,16x16,5:16,130239
lws_16x16,16x16,6:16,156287
lws_16x16,16x16,7:16,182335
lws_16x16,16x16,8:16,208383
lws_16x16,16x16,9:16,234431
lws_16x16,16x16,10:16,260479
lws_16x16,16x16,11:16,286527
lws_16x16,16x16,12:16,312575
lws_16x16,16x16,13:16,338623
lws_16x16,16x16,14:16,364671
lws_16x16,16x16,15:16,390719
lws_16x16,16x16,16:16,416767
lws_32x32,32x32,1:32,6895
lws_32x32,32x32,2:32,6895
lws_32x32,32x32,3:32,13791
lws_32x32,32x32,4:32,13791
lws_32x32,32x32,5:32,20687
lws_32x32,32x32,6:32,20687
lws_32x32,32x32,7:32,27583
lws_32x32,32x32,8:32,27583
lws_32x32,32x32,9:32,34479
lws_32x32,32x32,10:32,34479
lws_32x32,32x32,11:32,41375
lws_32x32,32x32,12:32,41375
lws_32x32,32x32,13:32,48271
lws_32x32,32x32,14:32,48271
lws_32x32,32x32,15:32,55167
lws_32x32,32x32,16:32,55167
lws_32x32,32x32,17:32,62063
lws_32x32,32x32,18:32,62063
lws_32x32,32x32,19:32,68959
lws_32x32,32x32,20:32,68959
lws_32x32,32x32,21:32,75855
lws_32x32,32x32,22:32,75855
lws_32x32,32x32,23:32,82751
lws_32x32,32x32,24:32,82751
lws_32x32,32x32,25:32,89647
lws_32x32,32x32,26:32,89647
lws_32x32,32x32,27:32,96543
lws_32x32,32x32,28:32,96543
lws_32x32,32x32,29:32,103439
lws_32x32,32x32,30:32,103439
lws_32x32,32x32,31:32,110335
lws_32x32,32x32,32:32,110335
