LWS,Array Size,Sparsity Ratio,Compute Cycles
lws_4x4,4x4,1:4,27238399
lws_4x4,4x4,2:4,54476799
lws_4x4,4x4,3:4,81715199
lws_4x4,4x4,4:4,108953599
lws_8x8,8x8,1:8,3558399
lws_8x8,8x8,2:8,7116799
lws_8x8,8x8,3:8,10675199
lws_8x8,8x8,4:8,14233599
lws_8x8,8x8,5:8,17791999
lws_8x8,8x8,6:8,21350399
lws_8x8,8x8,7:8,24908799
lws_8x8,8x8,8:8,28467199
lws_16x16,16x16,1:16,483199
lws_16x16,16x16,2:16,966399
lws_16x16,16x16,3:16,1449599
lws_16x16,16x16,4:16,1932799
lws_16x16,16x16,5:16,2415999
lws_16x16,16x16,6:16,2899199
lws_16x16,16x16,7:16,3382399
lws_16x16,16x16,8:16,3865599
lws_16x16,16x16,9:16,4348799
lws_16x16,16x16,10:16,4831999
lws_16x16,16x16,11:16,5315199
lws_16x16,16x16,12:16,5798399
lws_16x16,16x16,13:16,6281599
lws_16x16,16x16,14:16,6764799
lws_16x16,16x16,15:16,7247999
lws_16x16,16x16,16:16,7731199
lws_32x32,32x32,1:32,69999
lws_32x32,32x32,2:32,139999
lws_32x32,32x32,3:32,209999
lws_32x32,32x32,4:32,279999
lws_32x32,32x32,5:32,349999
lws_32x32,32x32,6:32,419999
lws_32x32,32x32,7:32,489999
lws_32x32,32x32,8:32,559999
lws_32x32,32x32,9:32,629999
lws_32x32,32x32,10:32,699999
lws_32x32,32x32,11:32,769999
lws_32x32,32x32,12:32,839999
lws_32x32,32x32,13:32,909999
lws_32x32,32x32,14:32,979999
lws_32x32,32x32,15:32,1049999
lws_32x32,32x32,16:32,1119999
lws_32x32,32x32,17:32,1189999
lws_32x32,32x32,18:32,1259999
lws_32x32,32x32,19:32,1329999
lws_32x32,32x32,20:32,1399999
lws_32x32,32x32,21:32,1469999
lws_32x32,32x32,22:32,1539999
lws_32x32,32x32,23:32,1609999
lws_32x32,32x32,24:32,1679999
lws_32x32,32x32,25:32,1749999
lws_32x32,32x32,26:32,1819999
lws_32x32,32x32,27:32,1889999
lws_32x32,32x32,28:32,1959999
lws_32x32,32x32,29:32,2029999
lws_32x32,32x32,30:32,2099999
lws_32x32,32x32,31:32,2169999
lws_32x32,32x32,32:32,2239999
