LWS,Array Size,Sparsity Ratio,Compute Cycles
lws_4x4,4x4,1:4,13500415
lws_4x4,4x4,2:4,27000831
lws_4x4,4x4,3:4,40501247
lws_4x4,4x4,4:4,54001663
lws_8x8,8x8,1:8,1785855
lws_8x8,8x8,2:8,3571711
lws_8x8,8x8,3:8,5357567
lws_8x8,8x8,4:8,7143423
lws_8x8,8x8,5:8,8929279
lws_8x8,8x8,6:8,10715135
lws_8x8,8x8,7:8,12500991
lws_8x8,8x8,8:8,14286847
lws_16x16,16x16,1:16,247807
lws_16x16,16x16,2:16,495615
lws_16x16,16x16,3:16,743423
lws_16x16,16x16,4:16,991231
lws_16x16,16x16,5:16,1239039
lws_16x16,16x16,6:16,1486847
lws_16x16,16x16,7:16,1734655
lws_16x16,16x16,8:16,1982463
lws_16x16,16x16,9:16,2230271
lws_16x16,16x16,10:16,2478079
lws_16x16,16x16,11:16,2725887
lws_16x16,16x16,12:16,2973695
lws_16x16,16x16,13:16,3221503
lws_16x16,16x16,14:16,3469311
lws_16x16,16x16,15:16,3717119
lws_16x16,16x16,16:16,3964927
lws_32x32,32x32,1:32,37119
lws_32x32,32x32,2:32,74239
lws_32x32,32x32,3:32,111359
lws_32x32,32x32,4:32,148479
lws_32x32,32x32,5:32,185599
lws_32x32,32x32,6:32,222719
lws_32x32,32x32,7:32,259839
lws_32x32,32x32,8:32,296959
lws_32x32,32x32,9:32,334079
lws_32x32,32x32,10:32,371199
lws_32x32,32x32,11:32,408319
lws_32x32,32x32,12:32,445439
lws_32x32,32x32,13:32,482559
lws_32x32,32x32,14:32,519679
lws_32x32,32x32,15:32,556799
lws_32x32,32x32,16:32,593919
lws_32x32,32x32,17:32,631039
lws_32x32,32x32,18:32,668159
lws_32x32,32x32,19:32,705279
lws_32x32,32x32,20:32,742399
lws_32x32,32x32,21:32,779519
lws_32x32,32x32,22:32,816639
lws_32x32,32x32,23:32,853759
lws_32x32,32x32,24:32,890879
lws_32x32,32x32,25:32,927999
lws_32x32,32x32,26:32,965119
lws_32x32,32x32,27:32,1002239
lws_32x32,32x32,28:32,1039359
lws_32x32,32x32,29:32,1076479
lws_32x32,32x32,30:32,1113599
lws_32x32,32x32,31:32,1150719
lws_32x32,32x32,32:32,1187839
