LWS,Array Size,Sparsity Ratio,Compute Cycles
lws_4x4,4x4,1:4,167039
lws_4x4,4x4,2:4,334079
lws_4x4,4x4,3:4,501119
lws_4x4,4x4,4:4,668159
lws_8x8,8x8,1:8,83519
lws_8x8,8x8,2:8,167039
lws_8x8,8x8,3:8,250559
lws_8x8,8x8,4:8,334079
lws_8x8,8x8,5:8,417599
lws_8x8,8x8,6:8,501119
lws_8x8,8x8,7:8,584639
lws_8x8,8x8,8:8,668159
lws_16x16,16x16,1:16,41759
lws_16x16,16x16,2:16,83519
lws_16x16,16x16,3:16,125279
lws_16x16,16x16,4:16,167039
lws_16x16,16x16,5:16,208799
lws_16x16,16x16,6:16,250559
lws_16x16,16x16,7:16,292319
lws_16x16,16x16,8:16,334079
lws_16x16,16x16,9:16,375839
lws_16x16,16x16,10:16,417599
lws_16x16,16x16,11:16,459359
lws_16x16,16x16,12:16,501119
lws_16x16,16x16,13:16,542879
lws_16x16,16x16,14:16,584639
lws_16x16,16x16,15:16,626399
lws_16x16,16x16,16:16,668159
lws_32x32,32x32,1:32,20879
lws_32x32,32x32,2:32,41759
lws_32x32,32x32,3:32,62639
lws_32x32,32x32,4:32,83519
lws_32x32,32x32,5:32,104399
lws_32x32,32x32,6:32,125279
lws_32x32,32x32,7:32,146159
lws_32x32,32x32,8:32,167039
lws_32x32,32x32,9:32,187919
lws_32x32,32x32,10:32,208799
lws_32x32,32x32,11:32,229679
lws_32x32,32x32,12:32,250559
lws_32x32,32x32,13:32,271439
lws_32x32,32x32,14:32,292319
lws_32x32,32x32,15:32,313199
lws_32x32,32x32,16:32,334079
lws_32x32,32x32,17:32,354959
lws_32x32,32x32,18:32,375839
lws_32x32,32x32,19:32,396719
lws_32x32,32x32,20:32,417599
lws_32x32,32x32,21:32,438479
lws_32x32,32x32,22:32,459359
lws_32x32,32x32,23:32,480239
lws_32x32,32x32,24:32,501119
lws_32x32,32x32,25:32,521999
lws_32x32,32x32,26:32,542879
lws_32x32,32x32,27:32,563759
lws_32x32,32x32,28:32,584639
lws_32x32,32x32,29:32,605519
lws_32x32,32x32,30:32,626399
lws_32x32,32x32,31:32,647279
lws_32x32,32x32,32:32,668159
