Config File,Array Size,Sparsity Ratio,Compute Cycles
config_4x4,4x4,1:4,27238399
config_4x4,4x4,2:4,54476799
config_4x4,4x4,3:4,81715199
config_4x4,4x4,4:4,108953599
config_8x8,8x8,1:8,3558399
config_8x8,8x8,2:8,7116799
config_8x8,8x8,3:8,10675199
config_8x8,8x8,4:8,14233599
config_8x8,8x8,5:8,17791999
config_8x8,8x8,6:8,21350399
config_8x8,8x8,7:8,24908799
config_8x8,8x8,8:8,28467199
config_16x16,16x16,1:16,483199
config_16x16,16x16,2:16,966399
config_16x16,16x16,3:16,1449599
config_16x16,16x16,4:16,1932799
config_16x16,16x16,5:16,2415999
config_16x16,16x16,6:16,2899199
config_16x16,16x16,7:16,3382399
config_16x16,16x16,8:16,3865599
config_16x16,16x16,9:16,4348799
config_16x16,16x16,10:16,4831999
config_16x16,16x16,11:16,5315199
config_16x16,16x16,12:16,5798399
config_16x16,16x16,13:16,6281599
config_16x16,16x16,14:16,6764799
config_16x16,16x16,15:16,7247999
config_16x16,16x16,16:16,7731199
config_32x32,32x32,1:32,69999
config_32x32,32x32,2:32,139999
config_32x32,32x32,3:32,209999
config_32x32,32x32,4:32,279999
config_32x32,32x32,5:32,349999
config_32x32,32x32,6:32,419999
config_32x32,32x32,7:32,489999
config_32x32,32x32,8:32,559999
config_32x32,32x32,9:32,629999
config_32x32,32x32,10:32,699999
config_32x32,32x32,11:32,769999
config_32x32,32x32,12:32,839999
config_32x32,32x32,13:32,909999
config_32x32,32x32,14:32,979999
config_32x32,32x32,15:32,1049999
config_32x32,32x32,16:32,1119999
config_32x32,32x32,17:32,1189999
config_32x32,32x32,18:32,1259999
config_32x32,32x32,19:32,1329999
config_32x32,32x32,20:32,1399999
config_32x32,32x32,21:32,1469999
config_32x32,32x32,22:32,1539999
config_32x32,32x32,23:32,1609999
config_32x32,32x32,24:32,1679999
config_32x32,32x32,25:32,1749999
config_32x32,32x32,26:32,1819999
config_32x32,32x32,27:32,1889999
config_32x32,32x32,28:32,1959999
config_32x32,32x32,29:32,2029999
config_32x32,32x32,30:32,2099999
config_32x32,32x32,31:32,2169999
config_32x32,32x32,32:32,2239999
