Config File,Array Size,Sparsity Ratio,Compute Cycles
config_4x4,4x4,1:4,13500415
config_4x4,4x4,2:4,27000831
config_4x4,4x4,3:4,40501247
config_4x4,4x4,4:4,54001663
config_8x8,8x8,1:8,1785855
config_8x8,8x8,2:8,3571711
config_8x8,8x8,3:8,5357567
config_8x8,8x8,4:8,7143423
config_8x8,8x8,5:8,8929279
config_8x8,8x8,6:8,10715135
config_8x8,8x8,7:8,12500991
config_8x8,8x8,8:8,14286847
config_16x16,16x16,1:16,247807
config_16x16,16x16,2:16,495615
config_16x16,16x16,3:16,743423
config_16x16,16x16,4:16,991231
config_16x16,16x16,5:16,1239039
config_16x16,16x16,6:16,1486847
config_16x16,16x16,7:16,1734655
config_16x16,16x16,8:16,1982463
config_16x16,16x16,9:16,2230271
config_16x16,16x16,10:16,2478079
config_16x16,16x16,11:16,2725887
config_16x16,16x16,12:16,2973695
config_16x16,16x16,13:16,3221503
config_16x16,16x16,14:16,3469311
config_16x16,16x16,15:16,3717119
config_16x16,16x16,16:16,3964927
config_32x32,32x32,1:32,37119
config_32x32,32x32,2:32,74239
config_32x32,32x32,3:32,111359
config_32x32,32x32,4:32,148479
config_32x32,32x32,5:32,185599
config_32x32,32x32,6:32,222719
config_32x32,32x32,7:32,259839
config_32x32,32x32,8:32,296959
config_32x32,32x32,9:32,334079
config_32x32,32x32,10:32,371199
config_32x32,32x32,11:32,408319
config_32x32,32x32,12:32,445439
config_32x32,32x32,13:32,482559
config_32x32,32x32,14:32,519679
config_32x32,32x32,15:32,556799
config_32x32,32x32,16:32,593919
config_32x32,32x32,17:32,631039
config_32x32,32x32,18:32,668159
config_32x32,32x32,19:32,705279
config_32x32,32x32,20:32,742399
config_32x32,32x32,21:32,779519
config_32x32,32x32,22:32,816639
config_32x32,32x32,23:32,853759
config_32x32,32x32,24:32,890879
config_32x32,32x32,25:32,927999
config_32x32,32x32,26:32,965119
config_32x32,32x32,27:32,1002239
config_32x32,32x32,28:32,1039359
config_32x32,32x32,29:32,1076479
config_32x32,32x32,30:32,1113599
config_32x32,32x32,31:32,1150719
config_32x32,32x32,32:32,1187839
