LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 129.0, 17218.0, 12535600.0, 55.0, 128.0, 4736, 255.0, 17345.0, 774400, -2622.0, 15737.0, 917700, -190.0, -1.0, 9500, 3017.0, 19789.0, 774400,
1, 129.0, 17415.0, 5038848.0, 1.0, 14142.0, 18432, 255.0, 17573.0, 559872, -2622.0, 15737.0, 917700, -738.0, -1.0, 36900, 5338.0, 18348.0, 559876,
2, 129.0, 17415.0, 5038848.0, 1.0, 14142.0, 18432, 255.0, 17573.0, 559872, -2622.0, 15737.0, 917700, -738.0, -1.0, 36900, 5338.0, 18348.0, 559876,
3, 129.0, 17415.0, 5038848.0, 1.0, 14142.0, 18432, 255.0, 17573.0, 559872, -2622.0, 15737.0, 917700, -738.0, -1.0, 36900, 5338.0, 18348.0, 559876,
4, 129.0, 17415.0, 5038848.0, 1.0, 14142.0, 18432, 255.0, 17573.0, 559872, -2622.0, 15737.0, 917700, -738.0, -1.0, 36900, 5338.0, 18348.0, 559876,
5, 129.0, 4260.0, 1354752.0, 1.0, 3474.0, 36864, 255.0, 4511.0, 301056, -2622.0, 2622.0, 262200, -738.0, -1.0, 36900, 2738.0, 7910.0, 301056,
6, 129.0, 14260.0, 2336256.0, 1.0, 13521.0, 73728, 255.0, 14450.0, 432640, -2622.0, 13114.0, 786600, -1475.0, -1.0, 73750, 2747.0, 15238.0, 432640,
7, 129.0, 970.0, 53824.0, 97.0, 128.0, 4096, 255.0, 1222.0, 107648, -2153.0, -1.0, 107650, -82.0, -1.0, 4100, 1222.0, 3374.0, 107648,
8, 129.0, 14260.0, 2336256.0, 1.0, 13521.0, 73728, 255.0, 14450.0, 432640, -2622.0, 13114.0, 786600, -1475.0, -1.0, 73750, 2747.0, 15238.0, 432640,
9, 129.0, 14260.0, 2336256.0, 1.0, 13521.0, 73728, 255.0, 14450.0, 432640, -2622.0, 13114.0, 786600, -1475.0, -1.0, 73750, 2747.0, 15238.0, 432640,
10, 129.0, 5574.0, 1354752.0, 1.0, 5330.0, 147456, 255.0, 5779.0, 250880, -2509.0, -1.0, 125450, -2622.0, 2622.0, 262200, 3250.0, 8175.0, 250880,
11, 129.0, 18230.0, 1990656.0, 1.0, 17959.0, 294912, 255.0, 18356.0, 331776, -2622.0, 7868.0, 524400, -2622.0, 15737.0, 917700, 4000.0, 19748.0, 331776,
12, 129.0, 1007.0, 57600.0, 65.0, 735.0, 16384, 255.0, 1213.0, 57600, -576.0, -1.0, 28800, -328.0, -1.0, 16400, 1213.0, 2364.0, 57600,
13, 129.0, 18230.0, 1990656.0, 1.0, 17959.0, 294912, 255.0, 18356.0, 331776, -2622.0, 7868.0, 524400, -2622.0, 15737.0, 917700, 4000.0, 19748.0, 331776,
14, 129.0, 18230.0, 1990656.0, 1.0, 17959.0, 294912, 255.0, 18356.0, 331776, -2622.0, 7868.0, 524400, -2622.0, 15737.0, 917700, 4000.0, 19748.0, 331776,
15, 129.0, 93265.0, 1354752.0, 1.0, 93097.0, 589824, 255.0, 93399.0, 225792, -1129.0, -1.0, 56450, -2622.0, 91804.0, 4719600, 52726.0, 95293.0, 225792,
16, 129.0, 306988.0, 1382400.0, 1.0, 306836.0, 1179648, 255.0, 307114.0, 230400, -1152.0, -1.0, 57600, -2622.0, 304267.0, 15338700, 152396.0, 309100.0, 230400,
17, 129.0, 1648.0, 65536.0, 1.0, 1466.0, 65536, 255.0, 1783.0, 32768, -164.0, -1.0, 8200, -1311.0, -1.0, 65550, 1783.0, 2438.0, 32768,
18, 129.0, 306988.0, 1382400.0, 1.0, 306836.0, 1179648, 255.0, 307114.0, 230400, -1152.0, -1.0, 57600, -2622.0, 304267.0, 15338700, 152396.0, 309100.0, 230400,
19, 129.0, 306988.0, 1382400.0, 1.0, 306836.0, 1179648, 255.0, 307114.0, 230400, -1152.0, -1.0, 57600, -2622.0, 304267.0, 15338700, 152396.0, 309100.0, 230400,
20, 129.0, 6001.0, 4096.0, 1.0, 5873.0, 256000, 255.0, 6103.0, 2000, -6.0, -1.0, 300, -2622.0, 2622.0, 262200, 6127.0, 6166.0, 2000,
